tweet,processed_tweet,label,semantic_category
"The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?",kindl seem best eread work uk get one,pos,books
"I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha.",googl addict thank point hahaha,pos,unlabeled
@ruby_gem My primary debit card is Visa Electron.,primari debit card visa electron,neutral,unlabeled
Off to the bank to get my new visa platinum card,bank get new visa platinum card,neutral,unlabeled
"dearest @google, you rich bastards! the VISA card you sent me doesn't work. why screw a little guy like me?",dearest rich bastard visa card sent not work screw littl guy like,neg,unlabeled
has a date with bobby flay and gut fieri from food network,date bobbi_flay gut fieri food network,neutral,Bobby Flay
Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest!,excit see bobbi_flay guy fieri tomorrow great american food music fest,pos,Bobby Flay
Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.,go go_see bobbi_flay moro shorelin eat drink go good,pos,Bobby Flay
can't wait for the great american food and music festival at shoreline tomorrow.  mmm...katz pastrami and bobby flay. yes please.,not wait great american food music festiv shorelin tomorrow mmmkatz pastrami bobbi_flay ye pleas,pos,Bobby Flay
"My dad was in NY for a day, we ate at MESA grill last night and met Bobby Flay. So much fun, except I completely lost my voice today.",dad ny day ate mesa grill last_night met bobbi_flay much fun except complet lost voic today,pos,Bobby Flay
Fighting with LaTex. Again...,fight latex,neg,IT
@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil,love not want die latex devil,neg,IT
"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more.",hour hour inkscap crash normal solid rock hour latex complain slightest thing not take,neg,IT
How to Track Iran with Social Media: http://bit.ly/2BoqU,track iran social media,neutral,politics
Shit's hitting the fan in Iran...craziness indeed #iranelection,shit hit fan irancrazi inde iranelect,neg,politics
Monday already. Iran may implode. Kitchen is a disaster. @annagoss seems happy. @sebulous had a nice weekend and @goldpanda is great. whoop.,monday alreadi iran may implod kitchen disast seem happi nice weekend great whoop,neg,politics
Twitter Stock buzz: $AAPL $ES_F $SPY $SPX $PALM  (updated: 12:00 PM),twitter stock buzz aapl es_f spi spx palm updat pm,neutral,Twitter
getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby.,get readi test burger receip weekend bobbi_flay great receip tri thank bobbi,pos,Bobby Flay
@johncmayer is Bobby Flay joining you?,bobbi_flay join,neutral,Bobby Flay
i lam so in love with Bobby Flay... he is my favorite. RT @terrysimpson: @bflay you need a place in Phoenix. We have great peppers here!,lam love bobbi_flay favorit need place phoenix great pepper,pos,Bobby Flay
"I just created my first LaTeX file from scratch. That didn't work out very well. (See @amandabittner , it's a great time waster)",creat first latex file scratch not work well see great time waster,neg,IT
using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!,use linux love much nicer window look forward use wysiwyg latex editor,pos,IT
"After using LaTeX a lot, any other typeset mathematics just looks hideous.",use latex lot typeset mathemat look hideou,pos,IT
Ask Programming: LaTeX or InDesign?: submitted by calcio1 [link] [1 comment] http://tinyurl.com/myfmf7,ask program latex indesign submit calcio link comment,neutral,IT
"On that note, I hate Word. I hate Pages. I hate LaTeX. There, I said it. I hate LaTeX. All you TEXN3RDS can come kill me now.",note hate word hate page hate latex said hate latex texnrd come kill,neg,IT
Ahhh... back in a *real* text editing environment. I &lt;3 LaTeX.,ahhh back real text edit environ latex,pos,IT
"Trouble in Iran, I see. Hmm. Iran. Iran so far away. #flockofseagullsweregeopoliticallycorrect",troubl iran see hmm iran iran far away flockofseagullsweregeopoliticallycorrect,neg,politics
Reading the tweets coming out of Iran... The whole thing is terrifying and incredibly sad...,read tweet come iran whole thing terrifi incred sad,neg,politics
